Entity_Name,State,Entity Type,Records Affected,Breach Date,Year,Breach_Type,Breach_Location,Business_Associate,Description
"Associated Radiologists of the Finger Lakes, P.C.",NY,Business Associate,501,12/29/2025,2025,Hacking/IT Incident,Network Server,Yes,
"Fieldtex Products, Inc.",NY,Business Associate,104071,12/12/2025,2025,Hacking/IT Incident,Network Server,Yes,
"Fieldtex Products, Inc.",NY,Business Associate,5901,12/3/2025,2025,Hacking/IT Incident,Network Server,Yes,
"Fieldtex Products, Inc.",NY,Business Associate,9206,12/3/2025,2025,Hacking/IT Incident,Network Server,Yes,
"Fieldtex Products, Inc.",NY,Business Associate,20641,12/3/2025,2025,Hacking/IT Incident,Network Server,Yes,
"Fieldtex Products, Inc.",NY,Business Associate,238615,11/20/2025,2025,Hacking/IT Incident,Network Server,Yes,
St. Johnâ€™s Riverside Hospital,NY,Healthcare Provider,2238,11/14/2025,2025,Hacking/IT Incident,Email,No,
Steven J. Pearlman MD PC ,NY,Healthcare Provider,10182,11/9/2025,2025,Hacking/IT Incident,Network Server,No,
"Weekend Health, LLC",NY,Business Associate,1643,9/30/2025,2025,Unauthorized Access/Disclosure,Network Server,Yes,
"Superior Vision Services, Inc.",NY,Business Associate,25341,9/29/2025,2025,Hacking/IT Incident,Email,Yes,
"Thomas Davies, DPM",NY,Healthcare Provider,14581,9/29/2025,2025,Hacking/IT Incident,Electronic Medical Record,No,
Anthony L. Jordan Health Corporation ,NY,Healthcare Provider,2974,8/29/2025,2025,Hacking/IT Incident,Email,No,
College Hometown Pharmacy,NY,Healthcare Provider,9742,8/25/2025,2025,Hacking/IT Incident,Network Server,No,
College Parkside Pharmacy,NY,Healthcare Provider,5736,8/25/2025,2025,Hacking/IT Incident,Network Server,No,
"Independent Health Association, Inc.",NY,Health Plan,637,8/22/2025,2025,Unauthorized Access/Disclosure,Other,No,
"CareTracker, Inc.",NY,Business Associate,501,8/18/2025,2025,Hacking/IT Incident,Network Server,Yes,
"Center for Disability Services, Inc.",NY,Healthcare Provider,3343,8/8/2025,2025,Hacking/IT Incident,Email,No,
MDLand International Corporation ,NY,Business Associate,22586,8/4/2025,2025,Hacking/IT Incident,Network Server,Yes,
"Infinite Services, Inc.",NY,Healthcare Provider,31742,7/21/2025,2025,Hacking/IT Incident,Network Server,No,
Human Development Services of Westchester,NY,Healthcare Provider,501,7/18/2025,2025,Hacking/IT Incident,Email,No,
Kelley Drye & Warren LLP,NY,Business Associate,771,6/12/2025,2025,Hacking/IT Incident,Network Server,Yes,
NYC Health + Hospitals,NY,Healthcare Provider,5728,6/6/2025,2025,Hacking/IT Incident,Network Server,Yes,
The Smith Institute for Urology,NY,Healthcare Provider,2263,5/28/2025,2025,Unauthorized Access/Disclosure,Desktop Computer,No,
NHPP Physical Medicine and Rehabilitation,NY,Healthcare Provider,1353,5/23/2025,2025,Unauthorized Access/Disclosure,Other,No,
"Sports Physical Therapy, Occupational Therapy and Rehabilitation Services of the North Shore, P.L.L.C",NY,Healthcare Provider,6195,5/23/2025,2025,Unauthorized Access/Disclosure,Other,No,
North Shore University Hospital Sleep Disorders Center,NY,Healthcare Provider,13332,5/23/2025,2025,Unauthorized Access/Disclosure,Other,No,
"Allegany Council on Alcoholism & Substance Abuse, Inc.",NY,Healthcare Provider,696,4/2/2025,2025,Hacking/IT Incident,Email,No,
"Liberty Resources, Inc.",NY,Healthcare Provider,103711,3/4/2025,2025,Hacking/IT Incident,Network Server,No,
"Somnia, Inc.",NY,Business Associate,19069,2/14/2025,2025,Hacking/IT Incident,Email,Yes,
"University Diagnostic Medical Imaging, PC",NY,Healthcare Provider,138080,1/21/2025,2025,Hacking/IT Incident,Network Server,No,
Buffalo Surgery Center,NY,Healthcare Provider,64000,1/4/2025,2025,Hacking/IT Incident,Network Server,No,
Richmond University Medical Center,NY,Healthcare Provider,674033,12/19/2024,2024,Hacking/IT Incident,Network Server,No,
"Maternal Fetal Medicine Associates, PLLC, Carnegie Hill Imaging for Women, and Carnegie Womenâ€™s Health (collectively, â€œthe Practicesâ€)",NY,Healthcare Provider,501,11/15/2024,2024,Hacking/IT Incident,Network Server,No,
"Mohawk Valley Cardiology, P.C.",NY,Healthcare Provider,4973,11/4/2024,2024,Unauthorized Access/Disclosure,Other,No,
"Advanced Recovery Equipment & Supplies, LLC",NY,Healthcare Provider,56000,10/18/2024,2024,Hacking/IT Incident,Network Server,No,
"ATSG, Inc",NY,Business Associate,909469,10/4/2024,2024,Hacking/IT Incident,Network Server,Yes,
"Excelsior Orthopaedics, LLC",NY,Healthcare Provider,292913,8/21/2024,2024,Hacking/IT Incident,Network Server,No,
"Gramercy Surgery Center, Inc.",NY,Healthcare Provider,52372,8/9/2024,2024,Hacking/IT Incident,Network Server,No,
M&D Capital Premier Billing LLC,NY,Business Associate,284326,3/21/2024,2024,Hacking/IT Incident,Network Server,Yes,
A5 PHARMACY INC.,NY,Healthcare Provider,3000,3/13/2024,2024,Hacking/IT Incident,Network Server,No,
UNITE HERE ,NY,Business Associate,95797,2/23/2024,2024,Hacking/IT Incident,Network Server,Yes,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
